,id,date,trip,max_temp,min_temp,avg_temp,precip,weekday,weight,bmi,fat,calories,steps,distance,floors,mins_sedentary,mins_light_active,mins_fairly_active,mins_very_active,calories_activity,mins_asleep,activity_level,steps_level,sleep_cat,weekday2,covid,month2,covid2
1,1,2019-10-01,0,75,51,63,0,Tuesday,140.33,22.82,NA,1697,2941,1.24,14,1319,121,0,0,365,NA,Low Activity,Low Step Count,NA,Tuesday,0,NA,0
2,2,2019-10-02,0,76,53,64.5,0,Wednesday,140.26,22.81,NA,2498,15151,7.36,25,1154,220,16,50,1300,NA,Very High Activity,Very High Step Count,NA,Wednesday,0,NA,0
3,3,2019-10-03,0,84,54,69,0,Thursday,140.2,22.8,NA,2171,10091,4.41,62,691,166,19,36,914,470,Average Activity,High Step Count,Ideal Sleep Time,Thursday,0,NA,0
4,4,2019-10-04,0,83,53,68,0,Friday,140.4,22.84,NA,3098,18416,8.32,37,517,341,52,76,2057,406,Very High Activity,Very High Step Count,Short Sleep Time,Friday,0,NA,0
5,5,2019-10-05,0,82,58,70,0,Saturday,140.3,22.82,NA,3138,9394,4.1,28,575,423,100,20,2131,298,Very High Activity,Average Step Count,Short Sleep Time,Saturday,0,NA,0
6,6,2019-10-06,0,88,58,73,0,Sunday,140.2,22.8,NA,2101,5586,2.44,18,1183,160,0,0,505,NA,Average Activity,Average Step Count,NA,Sunday,0,NA,0
7,7,2019-10-07,0,95,59,77,0,Monday,140.1,22.79,NA,2194,12251,5.35,67,621,140,41,46,953,551,High Activity,High Step Count,Long Sleep Time,Monday,0,NA,0
8,8,2019-10-08,0,92,58,75,0,Tuesday,140,22.77,NA,2366,11477,5.08,25,580,261,25,30,1193,478,High Activity,High Step Count,Ideal Sleep Time,Tuesday,0,NA,0
9,9,2019-10-09,0,86,57,71.5,0,Wednesday,140.28,22.82,NA,2786,13466,6.58,19,606,325,16,51,1675,396,Very High Activity,High Step Count,Short Sleep Time,Wednesday,0,NA,0
10,10,2019-10-10,0,79,59,69,0,Thursday,140.56,22.86,NA,2194,6891,2.99,19,674,197,31,14,924,483,High Activity,Average Step Count,Ideal Sleep Time,Thursday,0,NA,0
11,11,2019-10-11,0,86,57,71.5,0,Friday,140.85,22.91,NA,2306,12957,5.66,74,688,218,21,44,1095,428,High Activity,High Step Count,Ideal Sleep Time,Friday,0,NA,0
12,12,2019-10-12,0,85,57,71,0,Saturday,141.13,22.95,NA,2339,7983,3.49,19,567,346,0,0,1144,487,High Activity,Average Step Count,Ideal Sleep Time,Saturday,0,NA,0
13,13,2019-10-13,0,78,53,65.5,0,Sunday,141.42,23,NA,2416,5194,2.27,11,616,307,36,6,1251,406,High Activity,Average Step Count,Short Sleep Time,Sunday,0,NA,0
14,14,2019-10-14,0,89,54,71.5,0,Monday,141.7,23.05,NA,2167,10625,4.64,62,619,187,23,33,934,537,Average Activity,High Step Count,Ideal Sleep Time,Monday,0,NA,0
15,15,2019-10-15,0,76,53,64.5,0,Tuesday,142,23.1,NA,2705,14383,6.9,26,439,253,16,69,1498,584,Very High Activity,High Step Count,Long Sleep Time,Tuesday,0,NA,0
16,16,2019-10-16,0,90,54,72,0,Wednesday,141.4,23,NA,2400,12598,6.13,13,756,153,26,60,1146,401,High Activity,High Step Count,Short Sleep Time,Wednesday,0,NA,0
17,17,2019-10-17,0,93,59,76,0,Thursday,140.8,22.9,NA,2091,10015,4.33,57,739,134,24,42,817,446,Average Activity,High Step Count,Ideal Sleep Time,Thursday,0,NA,0
18,18,2019-10-18,0,79,54,66.5,0,Friday,140.2,22.8,NA,2635,13558,6.66,30,649,242,27,57,1451,420,Very High Activity,High Step Count,Ideal Sleep Time,Friday,0,NA,0
19,19,2019-10-19,0,80,52,66,0,Saturday,140.23,22.81,NA,2704,10814,4.72,14,720,329,23,2,1277,324,Very High Activity,High Step Count,Short Sleep Time,Saturday,0,NA,0
20,20,2019-10-20,0,81,53,67,0,Sunday,140.26,22.81,NA,2111,5165,2.26,11,743,242,7,9,867,400,Average Activity,Average Step Count,Short Sleep Time,Sunday,0,NA,0
21,21,2019-10-21,0,88,54,71,0,Monday,140.29,22.82,NA,1820,3932,1.72,10,609,177,0,0,538,617,Low Activity,Low Step Count,Long Sleep Time,Monday,0,NA,0
22,22,2019-10-22,0,93,64,78.5,0,Tuesday,140.33,22.82,NA,2058,7015,3.06,17,682,248,0,0,815,438,Average Activity,Average Step Count,Ideal Sleep Time,Tuesday,0,NA,0
23,23,2019-10-23,0,97,61,79,0,Wednesday,140.36,22.83,NA,2471,13888,6.84,24,1171,189,23,57,1250,NA,Very High Activity,High Step Count,NA,Wednesday,0,NA,0
24,24,2019-10-24,0,94,63,78.5,0,Thursday,140.4,22.84,NA,1900,5708,2.49,12,737,179,9,2,615,373,Low Activity,Average Step Count,Short Sleep Time,Thursday,0,NA,0
25,25,2019-10-25,0,97,61,79,0,Friday,140.2,22.8,NA,2653,15152,7.13,33,613,234,30,70,1488,540,Very High Activity,Very High Step Count,Long Sleep Time,Friday,0,NA,0
26,26,2019-10-26,0,97,60,78.5,0,Saturday,140.31,22.82,NA,2222,7047,3.06,16,583,320,7,1,1064,448,High Activity,Average Step Count,Ideal Sleep Time,Saturday,0,NA,0
27,27,2019-10-27,0,91,55,73,0,Sunday,140.42,22.84,NA,2445,8502,3.71,14,728,375,9,0,1325,295,High Activity,Average Step Count,Short Sleep Time,Sunday,0,NA,0
